,Post,Link,Sentence,WhoAnswered
134,544,https://piazza.com/class/ky7ls2h92kpwe/post/544,"inter-rather agreement vs inter-annotator agreement.hello,are these two terms the same thing — just iaa being a bit more specified for annotation? otherwise i have seen them be used interchangeably in many places, and are measures with the same method’s, like cohen’s kappa.",question
135,544,https://piazza.com/class/ky7ls2h92kpwe/post/544,same,i_answer
136,487,https://piazza.com/class/ky7ls2h92kpwe/post/487,"tensorflow or pytorch?.hello, tensorflow and pytorch seem to be the most popular ml libraries today. is there any recommendation on what is more suitable for nlp tasks? in terms of learning curve, industry-relevance, ease of deployment, etc.? thanks.",question
137,487,https://piazza.com/class/ky7ls2h92kpwe/post/487,pytorch,followup_question
138,487,https://piazza.com/class/ky7ls2h92kpwe/post/487,"historically, pytorch had a better performance on recursive networks (e.g. lstm) that were dominant before transformers, but they are both pretty good now. i personally use pytorch as it feels more natural to me but tf2.0 is also pretty mature and powerful once you get into the mindset. i cannot comment about industry usage. so just pick one.",i_answer
139,382,https://piazza.com/class/ky7ls2h92kpwe/post/382,"pos tagging: preprocessing.is preprocessing generally done with pos tagging? such as removing stop words, removing punctuations, or stemming to name a few.thanks",question
140,382,https://piazza.com/class/ky7ls2h92kpwe/post/382,"i do not think we are supposed to do this because stopwords too have a part of speech associated with them. so we are needed to predict that. also, these stopwords and predictions define the probability of certain pos, if you remove them you model will not take this into account. certain pos can have more probability to end or start the sentence than others. removing stopwords, punctuation etc will ignore this. i think stemming too should not be done as it can change the pos tag. please correct me if i am wrong.",s_answer
141,268,https://piazza.com/class/ky7ls2h92kpwe/post/268,"does encoder (decoder) imply a specific model or just a general speaking of sentence representation?.in the class, prof. chen talked about bi-encoder & cross-encoder, and i am confused that if the encoder is a specific model or it could be any kind of sentence representation method? for example, the output of lstm, or cnn, or self-attention? since the key word ""encoder"" (and ""decoder"") was mentioned several times during the lecture, i want to figure out what it really means. thanks in advance!",question
142,268,https://piazza.com/class/ky7ls2h92kpwe/post/268,"any kind of sequence encoders: cnns, lstms, self-attention encoders or transformers (multi-head attention). note that cross-encoder architectures usually use attention encoders nowadays.",i_answer
143,255,https://piazza.com/class/ky7ls2h92kpwe/post/255,"vanishing gradient.do all models that use gradient descent, have a vanishing gradient problem?",question
144,255,https://piazza.com/class/ky7ls2h92kpwe/post/255,"it depends on the depth of the neural networks. consider a one-layer nn, there is no vanishing gradient problem. however, for a very depth model (consider a 100-layer fully connected nn), it is higher chance that there is a vanishing gradient problem.",i_answer
145,251,https://piazza.com/class/ky7ls2h92kpwe/post/251,query regarding rnns.do rnns have a fixed vocabulary limitation ?,question
146,251,https://piazza.com/class/ky7ls2h92kpwe/post/251,"depends. an rnn is simply a sequence model. if your input can handle oov tokens (eg. passing fasttext embs to rnn), then then the answer is no. if you are simply using something like word2vec or one hot then yes.",s_answer
147,243,https://piazza.com/class/ky7ls2h92kpwe/post/243,"convex optimization problem.hello,can you explain what is meant by saying an optimization problem is convex? and how can we actually determine whether an optimization problem is convex?",question
148,243,https://piazza.com/class/ky7ls2h92kpwe/post/243,"convex optimization means you are minimize a convex function. if you minimize a convex function, each local minima is global minima. for example, if you want to use a quadratic function to fit a series of data points, choosing the parameter of the quadratic function is a convex optimization problem.",i_answer
149,103,https://piazza.com/class/ky7ls2h92kpwe/post/103,naive bayes.we are adding logarithmic probabilities instead of multiplying conditional probabilities because it can result in floating-point underflow. what is floating-point underflow? any example?,question
150,103,https://piazza.com/class/ky7ls2h92kpwe/post/103,"since probabilities lie between 0 and 1, multiplying a lot of them can result in very small numbers that the data type cannot represent. arithmetic underflow can occur when the true result of a floating point operation is smaller in magnitude (that is, closer to zero) than the smallest value representable as a normal floating point number in the target datatype.[1] arithmetic underflow - wikipedia floating point - what is the range of values a float can have in python? - stack overflow in naive bayes, i think it would affect the comparison, as probabilities that are actually different would end up being 0 and look equal.",s_answer
151,54,https://piazza.com/class/ky7ls2h92kpwe/post/54,"logistic regression robustness to correlated features.in the logistic regression reading material, under the section 5.2.4 (choosing a classifier), it says logistic regression is more robust to correlated features : ""if two features f1 and f2 are perfectly correlated, regression will simply assign part of the weight to w1 and part to w2"" . is not the test for correlated features (test for multi-collinearity) an important step that we check before building the model ? as, the independence of two features is very important criteria in finding the partial gradient ??",question
152,54,https://piazza.com/class/ky7ls2h92kpwe/post/54,"generally yes. one should get rid of correlated features before fitting the model. however, it is always preferred if your model is robust to these without expert intervention.in addition, it is not always feasible to remove correlated features, e.g. due to limitations of the data or bias in the data. no training data is perfect, especially in nlp.",i_answer
153,18,https://piazza.com/class/ky7ls2h92kpwe/post/18,emojis.are emojis considered to be part of nlp? it feels like it would be a relevant factor — such as for sentiment analysis.,question
154,18,https://piazza.com/class/ky7ls2h92kpwe/post/18,"not sure if i understand the question. so please correct me if i missed it. is your question ""can processing emojis be done as part of nlp? especially for your assignment."" then yes it can be. just think of what you want to do with them as i have seen several research papers and projects on the topic. however, if you are asking ""are emojis a natural language?"". here is my opinion and others can join the discussion as well. i believe yes, emojis are a natural language. although they are manufactured originally, they have evolved naturally in human communities by repetition without conscious planning way beyond their original design. i found this interesting article on the topic:",i_answer
155,871,https://piazza.com/class/ky7ls2h92kpwe/post/871,question 47.question 47 which of the following cannot be fine-tuned into an abstractive summarization model? 3 selected answer: @ transformer encoder-decoder answers: @ bert bart 15 transformer encoder-decoder,question
156,870,https://piazza.com/class/ky7ls2h92kpwe/post/870,question 32.question 32 which of the following can be a (eey=eeonn selected answer: @ fact verification answers: @ abstractive summarization fact verification named entity recognition none of the other choices,question
157,868,https://piazza.com/class/ky7ls2h92kpwe/post/868,question 15.question 15 ‘syntactic ambiguity describes the situation where a string of words: 3 selected answer: ¢ can have more than one meaning answers: cannot be interpreted using syntactic rules can have more than one meaning @ can correspond to more than one structure can have dozens of implau,question
158,861,https://piazza.com/class/ky7ls2h92kpwe/post/861,"exam question 26.question 26 0 out of 1 points if we plan to train a readability analysis model that decides how difficult a given paragraph reads, where the readability is scaled into ix] five levels {very easy, easy, normal, difficult, very difficult}, then which of the following model is not suitable for this task? selected answer: ¢ a multi-class classifier answers: @ aregressor with mae loss an ordinal regression model amulti-class classifier a label ranker",question
159,861,https://piazza.com/class/ky7ls2h92kpwe/post/861,how would you train a sentiment classifier for movie reviews?,i_answer
160,861,https://piazza.com/class/ky7ls2h92kpwe/post/861,"yeah. but, if we can use an ordinary regression model, why cannot we use a regressor with mae loss? i think we only need to change the loss function to mae loss.",followup_question
161,861,https://piazza.com/class/ky7ls2h92kpwe/post/861,because ordinal regression is actually a classification method. it optimizes the probability of the class being leq than each ordinal label. how would you change this objective to mae?,feedback
162,861,https://piazza.com/class/ky7ls2h92kpwe/post/861,by the way. i just exempted this question for all. i agree that a multi-class classifier is also not the best kind of solution.,feedback
163,861,https://piazza.com/class/ky7ls2h92kpwe/post/861,"thank you, professor. i have a follow up question. what do you think is the best solution for this problem?",feedback
164,861,https://piazza.com/class/ky7ls2h92kpwe/post/861,could be ordinary regression.,feedback
165,861,https://piazza.com/class/ky7ls2h92kpwe/post/861,thank you very much!,feedback
166,627,https://piazza.com/class/l7102doc7aa3ob/post/627,"quiz 8.question 8 0 out of 10 points one of the difference between rule-based and transfer-based machine translation is that transfer-based machine translation's rules on semantic structure is more generalizable. selected answer: €3 true answers: true @ false question 4 0 out of 10 points in ibm machine translation model, if there are k words in the source sentence and v words in target sentence in a pair in parallel corpus, how many possible alignments 13] exists in this pair. (a*b means a to the power of b) selected answer: ¢ (v+1)4k answers: k4v (v+41)4k @ (k+1)4v v‘k preriwll weuwviu vi lf = bllitreliaeinte prweieie analignment a is {a1,...@m} ,where a; € {0...1} hence there are (/ + 1)” possible alignments m-.. t{re nr arrrrfri",question
167,627,https://piazza.com/class/l7102doc7aa3ob/post/627,"completely agree with you on transfer-based machine translation problem. for the ibm model problem, this is my understanding: in the ppt you screenshot, l is the length of the source and m is the length of the target, therefore (l+1)^m possible alignments. - for clarification: the slide states, ""[a]n alignment map determines which english word each french word originated from."" meaning that the french word (target) came from the english word (source). (i honestly may be confusing this though.) in the quiz, k is the length of the source and v is the length of the target, therefore (k+1)^v possible alignments..",s_answer
168,627,https://piazza.com/class/l7102doc7aa3ob/post/627,"for question 8, the question is talking about the semantic structure and not the syntactic structure. hence, this will be false!",followup_question
